psraid,oref nominee,Jobs Imp,Budget Imp,Immigration Imp,FP Imp (constructed),Jobs,Budget ,Immigration,FP
100042,3,2,1,2,0,3,3,3,3
100048,6,2,1,1,0,6,6,5,5
100052,1,1,2,1,0,1,1,1,1
100055,5,2,1,1,0,5,5,5,5
100070,5,1,1,1,0,5,5,9,9
100084,5,1,1,2,0,5,3,3,5
100140,1,1,1,1,0,1,1,1,1
100156,1,1,1,1,0,1,1,4,1
100163,3,1,1,1,0,3,3,1,1
100202,6,1,1,2,0,6,6,6,6
100265,3,1,1,1,0,3,3,9,3
100303,6,1,2,1,0,6,5,2,6
100331,1,1,1,1,0,1,5,4,1
100349,5,1,2,2,0,5,5,9,5
100376,5,1,1,2,0,4,4,2,2
100394,5,1,1,1,0,5,5,5,5
100425,3,1,1,1,0,9,3,3,8
100427,4,1,1,1,0,5,5,5,4
100429,5,1,1,1,0,5,5,5,5
100450,6,2,1,2,0,9,5,9,6
100453,3,1,1,1,0,3,3,3,3
100474,5,2,1,1,0,5,5,5,5
100511,6,1,1,2,0,5,4,6,5
100522,5,1,2,3,0,5,5,5,5
100547,3,1,1,3,0,9,9,9,9
100570,5,1,2,3,0,5,5,5,5
100584,5,1,1,2,0,5,5,5,1
100625,5,1,2,3,0,5,5,5,5
100628,5,2,1,2,0,5,5,5,5
100642,3,1,2,2,0,7,9,9,9
100674,6,1,1,2,0,6,3,3,6
100712,1,1,1,1,0,1,1,1,1
100753,4,1,1,1,0,4,4,4,4
100818,6,1,1,1,0,6,6,1,1
100828,1,1,1,1,0,8,1,1,1
100831,6,1,1,2,0,6,6,6,6
100979,2,1,2,3,0,2,2,2,2
100993,5,1,1,1,0,5,9,1,9
100994,1,1,1,1,0,1,1,3,1
101012,5,1,1,2,0,5,5,5,5
101052,3,1,1,3,0,9,9,9,1
101061,5,1,1,2,0,5,5,4,5
101062,4,1,1,1,0,8,4,4,4
101097,1,1,2,4,0,4,1,1,1
101144,4,1,1,1,0,4,4,4,9
101177,6,1,1,1,0,6,6,6,6
101209,4,1,1,1,0,5,5,5,1
101248,5,1,1,1,0,5,5,6,5
101261,1,1,2,2,0,1,1,4,1
101289,5,1,1,1,0,6,3,4,1
101290,5,1,1,1,0,5,5,5,1
101293,1,2,2,2,0,1,9,9,9
101458,1,1,1,1,0,3,3,4,7
101469,5,1,1,2,0,5,3,3,1
101518,6,1,1,2,0,8,5,4,9
101567,3,1,1,1,0,3,3,3,4
101596,5,1,1,2,0,3,3,4,5
101635,6,1,1,3,0,6,6,6,5
101652,1,1,1,1,0,9,9,9,9
101668,5,1,1,2,0,5,5,5,5
101704,1,1,1,1,0,1,1,1,1
101735,5,1,1,2,0,5,5,5,8
101771,6,1,1,2,0,5,6,1,1
101873,6,1,1,1,0,5,5,5,6
101965,5,1,1,2,0,1,6,1,1
101982,3,1,1,2,0,3,9,9,9
102021,3,1,2,2,0,3,3,9,3
102033,5,1,2,2,0,5,5,4,5
102068,5,2,1,2,0,5,5,4,2
102124,5,1,1,2,0,5,5,5,5
102165,2,1,1,3,0,2,2,2,2
102191,5,1,1,3,0,6,6,5,5
102227,4,2,2,3,0,3,3,3,4
102300,5,1,1,1,0,5,5,1,1
102306,6,2,4,1,0,6,5,3,3
102360,1,1,1,3,0,1,1,9,9
102377,5,4,1,4,0,5,8,9,9
102380,5,2,1,1,0,5,5,1,1
102408,3,2,1,4,0,1,3,1,2
102432,5,1,1,1,0,5,5,5,5
102467,6,1,1,2,0,6,1,5,6
102506,5,1,1,3,0,5,5,5,5
102575,1,1,1,1,0,1,1,4,3
102581,1,1,1,1,0,1,1,1,1
102708,5,2,3,3,0,2,5,5,2
102711,6,2,1,2,0,5,1,9,8
102714,3,1,1,2,0,3,3,4,3
102723,5,1,1,1,0,5,5,5,5
102744,6,1,2,1,0,8,9,9,5
102759,1,1,1,1,0,9,9,9,3
102847,5,1,1,2,0,5,5,5,9
102913,5,1,2,2,0,9,9,9,9
102923,1,1,1,1,0,1,1,4,2
102958,6,1,1,2,0,3,3,9,9
102974,3,1,1,2,0,3,3,3,3
103053,5,1,2,1,0,5,3,5,1
103101,5,1,1,1,0,9,4,1,5
103126,5,1,1,1,0,5,1,1,1
103132,6,1,1,2,0,9,9,9,9
103147,1,1,1,3,0,1,1,4,1
103155,5,2,2,3,0,5,5,5,5
103164,6,1,1,1,0,6,6,6,6
103174,3,1,1,1,0,9,3,3,1
103211,5,1,1,3,0,5,5,9,9
103252,5,1,1,1,0,3,3,3,5
103275,2,1,1,1,0,1,1,4,1
103284,1,1,1,1,0,5,4,1,1
103295,3,1,2,3,0,4,3,1,3
103310,1,1,1,1,0,5,1,1,1
103315,5,1,1,2,0,5,5,9,5
103316,5,1,1,1,0,5,5,1,1
103378,5,1,1,2,0,1,1,5,2
103432,5,1,4,2,0,8,5,5,5
103488,5,1,1,1,0,5,5,5,5
103553,3,1,1,1,0,3,3,3,3
103562,5,1,1,1,0,4,4,4,5
103639,6,1,1,1,0,5,8,1,5
103741,1,1,1,1,0,3,1,1,1
103757,1,1,1,1,0,1,1,1,1
103806,4,1,1,2,0,9,4,9,9
103913,4,1,1,1,0,5,5,5,5
103939,4,1,1,2,0,7,9,4,1
103944,6,1,1,2,0,3,3,1,1
104135,1,1,1,1,0,8,1,1,1
104162,4,1,1,2,0,8,9,9,3
104197,6,1,1,3,0,1,1,4,1
104233,5,1,1,3,0,5,5,9,8
104287,1,1,1,2,0,4,4,6,1
104349,3,1,1,2,0,3,3,3,3
104353,5,2,2,2,0,5,5,2,4
104383,5,1,1,1,0,9,5,5,5
104606,6,1,1,1,0,1,6,9,6
104616,5,1,1,1,0,6,6,6,5
104627,1,1,1,1,0,1,1,1,1
104663,6,1,1,3,0,6,6,5,6
200347,1,1,1,1,0,1,1,6,6
200398,1,1,1,2,0,4,1,1,1
200462,4,2,1,3,0,4,4,4,1
200527,1,1,1,1,0,1,3,5,6
200572,3,3,1,3,0,9,9,9,9
200775,5,1,1,1,0,5,5,5,5
200943,3,4,1,3,0,3,3,3,6
201029,5,1,1,1,0,5,5,5,5
201077,5,1,1,1,0,9,9,9,9
201116,3,1,2,2,0,3,3,3,3
201449,6,2,1,2,0,4,4,6,6
201481,1,2,1,1,0,1,5,1,1
201489,1,1,1,1,0,1,7,1,6
201676,5,1,3,2,0,5,5,5,8
201702,5,1,2,2,0,5,5,5,5
201769,5,2,1,3,0,5,5,4,1
201836,5,1,3,3,0,5,5,5,5
201963,1,1,1,2,0,1,1,9,1
202077,1,1,1,1,0,4,1,1,1
202092,3,2,1,1,0,4,3,3,3
202130,5,1,1,1,0,5,5,3,5
202225,1,1,1,1,0,1,1,6,3
202267,6,1,1,2,0,5,5,1,1
202332,4,1,1,1,0,3,3,3,3
202430,1,3,1,1,0,1,1,1,9
202495,3,1,1,3,0,9,9,9,9
202710,5,1,2,1,0,5,5,9,5
202847,6,1,1,3,0,5,3,8,1
202935,1,1,1,2,0,1,5,1,1
203132,5,2,1,1,0,9,5,9,5
203368,1,1,1,1,0,1,1,1,1
203514,5,1,2,3,0,5,5,5,5
203559,5,2,1,2,0,5,5,1,5
203675,6,3,1,1,0,5,5,6,6
203706,3,1,1,1,0,1,1,3,3
203852,5,1,1,1,0,5,5,5,5
203883,5,2,1,2,0,9,1,5,5
203977,3,4,1,2,0,3,3,3,3
204044,6,1,1,1,0,6,6,6,6
204051,5,2,1,1,0,5,5,5,5
204209,6,1,1,2,0,6,6,9,1
204216,3,3,3,3,0,9,9,9,1
204246,1,2,2,3,0,5,1,1,1
204482,3,2,1,1,0,3,3,8,1
204551,3,1,1,1,0,3,3,3,3
204679,3,4,2,2,0,3,9,3,3
204974,3,4,1,2,0,3,3,3,3
205014,3,1,1,2,0,3,3,3,1
205037,5,2,1,1,0,5,5,5,5
205149,1,1,1,3,0,6,3,4,1
205160,1,1,1,1,0,1,1,1,1
205351,4,2,2,2,0,1,1,1,5
205451,5,1,1,2,0,9,9,9,9
205467,1,1,1,1,0,8,9,3,1
205507,4,1,1,2,0,4,5,4,9
205532,5,1,1,1,0,5,5,9,2
205697,1,1,1,3,0,3,3,5,1
205982,3,1,3,1,0,3,3,9,1
206028,3,2,1,3,0,3,3,6,1
206157,1,1,1,1,0,9,9,9,1
206271,5,1,1,1,0,5,5,3,2
206366,6,1,1,1,0,1,1,1,1
206424,5,1,1,2,0,3,5,3,5
206630,6,1,1,2,0,4,5,6,1
206689,5,1,1,1,0,5,5,5,4
206728,3,4,1,4,0,3,3,3,3
206869,3,1,1,2,0,3,3,4,3
206909,5,1,1,2,0,5,6,1,5
207133,5,1,1,2,0,5,5,5,5
207399,3,2,1,3,0,3,3,3,3
207466,5,1,1,3,0,9,9,1,5
207556,6,1,1,2,0,5,5,4,1
207583,6,1,2,1,0,1,1,6,1
207631,6,1,1,2,0,6,6,6,6
207671,1,1,1,1,0,1,1,4,1
207883,1,1,1,3,0,7,7,9,1
207885,1,1,1,2,0,5,5,4,1
208110,2,1,1,1,0,5,5,1,2
208131,5,1,1,1,0,5,5,5,1
208400,6,1,1,2,0,5,1,4,1
208423,5,2,1,1,0,5,1,1,1
208447,4,2,1,2,0,4,5,4,5